drugname;count
Drukzak;0.8887301999480655
NaCl 0,45%/Glucose 2,5%;0.7943391326928071
Paracetamol;0.78230762572492
NaCL 0,9% spuit;0.7460399896130875
Magnesiumsulfaat (MgSO4);0.7095559594910413
Propofol (Diprivan);0.6650653509910845
NaCl 0,9 %;0.5916645027265646
Morfine;0.4766294468969099
Gelofusine;0.455379555093915
Nadroparine (Fraxiparine);0.4248679996537696
Noradrenaline (Norepinefrine);0.37392884964944173
Kaliumchloride (KCL);0.3688219510083961
Cefazoline (Kefzol);0.35852159612221934
Fentanyl;0.3542802735220289
Ascorbinezuur (Vit C);0.33727170431922443
Vitamine B Complex;0.32870250151475805
Water 150ml;0.31909460746126544
Calcium Glubionaat (Calcium Sandoz);0.31857526183675233
Dopamine (Inotropin);0.3013502986237341
Actrapid (Insuline);0.2998355405522375
Pantoprazol (Pantozol);0.28464468103522894
Furosemide (Lasix);0.2801004068207392
Gefiltreerde Ery's;0.27482039297152255
SDD pasta (4 x dgs);0.25664329611356357
SDD drank (4 x dgs);0.25612395048905046
Ri-Lac (Ringers lactaat);0.255128538042067
Midazolam (Dormicum);0.22180386046914222
Thiamine (Vitamine B1);0.21708647104648143
Nutrison Protein Plus;0.2130615424565048
Ceftriaxon (Rocephin);0.21293170605037653
Water 100ml;0.20765169220115987
Nitroglycerine (Nitro-pohl);0.19622608846187137
Macrogol (Movicolon);0.19397559075564788
Oxazepam (Seresta);0.1925473902882368
Metoprolol (Selokeen );0.18865229810438847
Mupirocine (Bactroban) zalf;0.1830693326408725
Insuline aspart (Novorapid);0.18250670821431664
Natrium-kalium-fosfaat;0.18207392019388904
Cernevit Multivitaminen;0.1669263394789232
Hydrocortison (Solu Cortef);0.16645027265645287
Vancomycine;0.16510862979312732
Haloperidol (Haldol);0.16437289015840043
Kaliumchloride drank;0.15861680948671342
Heparine;0.15710205141521683
Carbasalaatcalcium (Ascal);0.15666926339478923
Water 200ml;0.15571712974984853
Macrogol (Movicolon)X;0.15385614126200986
Cefotaxim (Claforan);0.14779710897602355
Lorazepam (Temesta);0.13438068034276812
Temazepam (Normison);0.12871115727516663
Medicijnlijn medicatie;0.12823509045269627
(V/A)Ventolin:Atrovent 1:1;0.1235177010300355
Spoorelementen (Nutritrace);0.1222193369687527
Glucose 5 %;0.12022851207478577
Hypromellose;0.11823768718081884
Velosuline (Insuline);0.11399636458062841
1 snee wit-bruin-volkoren-krente-roggebrood;0.11321734614385874
Water 50ml;0.11248160650913183
