drugname;count
ACETAMINOPHEN 325 MG PO TABS;0.10559646319059639
ACETAMINOPHEN;0.08462652905769719
ONDANSETRON 2 MG/1 ML 2ML SDV INJ;0.07290188639792093
ZOFRAN;0.06918285961794095
TYLENOL;0.06893890739274815
PANTOPRAZOLE SODIUM 40 MG IV SOLR;0.0681522859319224
PANTOPRAZOLE SODIUM 40 MG PO TBEC;0.06732583553637128
POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR;0.06465729690977252
SODIUM CHLORIDE 0.9% 1000 ML LVP;0.06040555812784092
acetaMINOPHEN 325 MG TAB;0.057612554080225434
ASPIRIN                                                                                                                                                                                                                                                        ;0.055820252017584476
SODIUM CHLORIDE 0.9 % IV : 1000 ML;0.05470504184527455
SODIUM CHLORIDE 0.9%;0.0542420304790923
NARCAN;0.05301231211944697
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN;0.048690872701746
BISACODYL 10 MG RE SUPP;0.048651043767020646
50 ML SYRINGE : DEXTROSE 50 % IV SOLN;0.047789743053584854
MORPHINE 2 MG/1 ML 1 ML SYR;0.047451197108419337
MAGNESIUM SULFATE 2 GM/50 ML IVPB;0.04728192413583658
PROTONIX;0.047087758079050475
FUROSEMIDE;0.04632602970242807
POTASSIUM CHLORIDE 20 MEQ PO PACK;0.04626628630034004
PEPCID;0.04619658566457067
SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE;0.04586301833624582
SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS;0.04580327493415779
INSULIN-LISPRO (rDNA) *UNIT* INJ;0.04534026356797555
potassium CHLORIDE 20 MEQ TR TAB;0.045275541549046845
Norepinephrine (ml/hr);0.044941974220722
LOVENOX;0.04488720943547464
GLUCAGON 1 MG (1 UNIT) INJ;0.044239989246187626
DEXTROSE 50% 25 GRAM/50 ML SYR;0.04350315395376857
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS;0.04345834640220254
PANTOPRAZOLE;0.04332392374750447
2 ML VIAL : ONDANSETRON HCL 4 MG/2ML IJ SOLN;0.04320443694332841
Propofol (ml/hr);0.042895762699206905
fentaNYL;0.042482537501431356
NITROGLYCERIN 0.4 MG SL SUBL;0.041636172638517564
ASPIRIN 81 MG PO CHEW;0.04146192104909414
METOPROLOL TARTRATE 25 MG PO TABS;0.04102878138395591
POTASSIUM CHLORIDE;0.03976919132326657
ACETAMINOPHEN 650 MG RE SUPP;0.03959991835068381
1000 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN;0.03921656485395227
GLUCOSE 15 GRAM/60 ML BQ LIQ;0.038823254123539395
potassium chloride;0.0377528515027955
LASIX;0.037284861519772575
GLUCAGEN;0.0372649470524099
NOVOLOG;0.037070780995623796
BISACODYL 10 MG RECT SUPP;0.03700108035985442
100 ML  -  POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN;0.03672227781677694
DOCUSATE SODIUM;0.036050164543286585
ondansetron;0.03576140476652776
LOPRESSOR;0.03549255945713162
LISINOPRIL                                                                                                                                                                                                                                                     ;0.03522371414773547
PERCOCET 5/325 TAB;0.03477563863207524
DOCUSATE SODIUM 100 MG PO CAPS;0.03414335429331023
fentaNYL (PF) 50 MCG/1 ML 2 ML INJ;0.033635535375561965
Norepinephrine (mcg/min);0.033535963038748576
FAMOTIDINE 20 MG/2 ML SDV INJ;0.03344136931877586
morphine;0.032714491260038135
LASIX                                                                                                                                                                                                                                                          ;0.03239088116539463
ASPIRIN;0.03206727107075112
Insulin (ml/hr);0.03193284841605305
100 ML  -  MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN;0.03192289118237172
ENOXAPARIN;0.03188306224764636
POLYETHYLENE GLYCOL 3350 PO PACK;0.03187808363080569
COLACE;0.031539537685640176
Propofol (mcg/kg/min);0.031295585460447375
Insulin (units/hr);0.031071547702617257
FAMOTIDINE;0.031026740151051235
ONDANSETRON HCL 4 MG/2ML IJ SOLN;0.030653343888001037
SENOKOT-S TAB;0.03023016145654414
500 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN;0.03018535390497812
Protonix;0.030075824334483393
SUBLIMAZE;0.030001145081873355
MORPHINE INJ;0.029707406688273864
ENOXAPARIN 40 MG/0.4 ML SYR;0.02959289850093847
D50;0.029568005416735123
BISACODYL;0.029164737452640907
acetaminophen;0.029129887134756224
LORAZEPAM;0.028766448105387362
potassium CHLORIDE 20 mEq in;0.028686790235936652
ATIVAN;0.028661897151733305
37.5 G TUBE : GLUCOSE 40 % PO GEL;0.02856232481491992
VANCOMYCIN HCL 1000 MG IV SOLR;0.028099313448737673
3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN;0.027984805261402276
