drugname;count
Fentanyl inj 50 µg/ml;0.7809172688394043
Liquemin 5000 U/ml;0.5469694735289781
Disoprivan 2%;0.5240230054564223
Magnesium Sulfat 50% 10 ml;0.4753281226957676
Perfalgan 1g;0.4724376935555228
Disoprivan 2% BOLUS;0.3754313523079192
Zinacef Amp 1.5 g;0.3249078307034361
Aspirin Tbl 100 mg;0.31116354519982303
Novalgin inj lös 50% 2 ml;0.2969178587229022
Intravenous blood transfusion of packed cells;0.28836454800176964
Dafalgan Brausetbl 1g;0.2810204984515558
Noradrenalin 20 µg/ml Perfusor;0.27196578675711547
Lasix Bolus 20mg Amp.;0.2582215012535024
Dormicum inj 1 mg/ml;0.2312638253944846
Benerva Inj Lsg 100mg/1 ml;0.2263088040112078
Benuron supp 1000 mg;0.22391977584427075
Lopirin Tabl 12.5 mg;0.21616280784545053
Dafalgan Tabl 1g;0.19852529125497714
Insulin Actrapid inj 100 U/ml;0.19654918153664652
Kalium Chlorid 15% 10 ml;0.19292139802389027
Ebrantil Inj Lsg;0.18531190089957233
Insulin NovoRapid;0.17655213095413655
Beloc ZOK ret Tbl 25 mg;0.165226367792361
Sodium nitro;0.16071375903259105
Kalium-Chlorid Sirup;0.1453472939094529
Isosource Standard;0.14284028904291401
Noradrenalin 10 µg/ml Bolus;0.14018581330187288
Augmentin 1.2 Inj Lsg;0.13121958413213392
Dobutrex 250 mg/20ml;0.13057071228432385
Atrovent Inhal Lsg 0.25 mg/2ml;0.12650051614806077
Tracrium inj 10 mg/ml;0.12573366760064889
Esmeron Inj Lsg 50 mg;0.11791771125202773
Disoprivan 1%;0.10833210440937915
K-Cl conc;0.10089957233446395
Magnesiocard 5 mmol sachet;0.0970653295974045
Ventolin inhal 0.5% 5 mg/ml;0.08152189942486358
Trandate inj;0.07913287125792656
Transfusion of plasma (FFP);0.07349948385193925
Phoscap Phosphat-Kps;0.06957675859017844
Adrenalin 20 µg/ml Perfusor;0.06886889839256746
Cordarone inj 50 mg/ml;0.0669222828491373
Noradrenalin 100 µg/ml Perfusor;0.0665093644005309
Haldol Inj Lsg 5 mg/ml;0.06441527798259844
Plavix Tbl 75 mg;0.0642383129331957
Benerva Tbl 300 mg;0.06400235953399204
Keppra;0.06308804011207786
Kalium Phosphat;0.06297006341247603
Atrovent N Dosieraerosol;0.062026249815661405
Vancocin Amp 500 mg;0.06052204689573809
KCL Retard Zyma Drag;0.06007963427223124
Kalium Phosphat für Perfusor;0.05845745465270609
Cepimex;0.058162512903701516
Calcium Sandoz Lsg 10% 10 ml;0.057985547854298776
Tazobac 2 g inf;0.055891461436366315
Platelet transfusion;0.05536056628815809
Trace elements;0.055272083763456714
Torem Tbl 10 mg;0.05524258958855626
Solu Cortef Inj Lsg 100 mg/ 2 ml;0.05341395074472791
Ventolin Dosieraerosol 0.1 mg;0.052912549771420146
Metronidazole inf 500 mg/100ml;0.05199823034950597
Mephameson 4mg/ml;0.05155581772599911
Morphin HCL Perfusor;0.04807550508774517
Becozym forte Drag;0.047633092464238316
Solumedrol 40 mg;0.04754460993953694
Lisinopril Tbl 20mg;0.047013714791328716
Isosource Protein;0.046984220616428256
Temesta Expidet 1mg;0.04480165167379443
Adrenalin 10 µg/ml Bolus;0.04456569827459077
Anexate 0.5mg/ 5 ml;0.041468809910042766
Beloc ZOK ret Tbl 50 mg;0.040878926412033625
Beloc Inj Lsg;0.04052499631322814
Euthyrox tabl 0.1 mg;0.038784839994101164
Nitriate 0.5mg/ml;0.03848989824509659
Glucose 20% /100ml;0.03766406134788379
Kalium Effervetten;0.03716266037457602
Perlinganit mg/ml inf;0.03707417784987465
Narcan Inj Lsg;0.03627783512756231
Zestril Tbl 5 mg;0.03621884677776139
Fortecortin Tbl 4 mg;0.03480312638253945
Norvasc Tabl 10 mg;0.034508184633534875
Nepresol inj 12.5 mg/ml;0.03447869045863442
Rocephin 1 g Inf Lsg;0.03447869045863442
Catapresan 25µg /ml Perfusor;0.03421324288453031
Augmentin 2.2 Inf Lsg;0.032886005014009734
Dormicum Perfusor 5 mg/ml;0.032473086565403333
Cyklokapron inj 100 mg/ml;0.03235510986580151
Dyrenium comp. Kps;0.03200117976699602
Nitroderm TTS 10;0.03144079044388733
Adrenalin 100 µg/ml Perfusor;0.030054564223565845
Aldactone Filmtbl 25 mg;0.0288453030526471
Norvasc Tabl 5 mg;0.028402890429140244
Novalgin Trpf;0.028314407904438874
Fentanyl Perf;0.028255419554637957
Rocephin 2 g Inf Lsg;0.028196431204837044
Protamin 1000 Inj Lsg;0.027488571007226074
Meronem 1g;0.027016664208818757
Rivotril 0.5 mg/ml;0.026426780710809616
Fraxiparine;0.026220321486506416
Minirin inj;0.026043356437103673
Corotrop Inj Lsg 1mg/ml 10 ml;0.025895885562601386
Becotal Inj Lsg;0.025482967113994986
Remeron Tbl 30 mg;0.024775106916384015
Perfalgan 500 mg;0.024686624391682642
Lasix Perfusor 250 mg Amp.;0.02412623506857396
Pentothal inj 0.5g;0.023329892346261615
Euphyllin N Bolus;0.023211915646659784
Nipruss 1mg/ml;0.022710514673352014
Solu Medrol 125 mg;0.022681020498451557
Aspégic Inj Lsg 500 mg/5ml;0.022150125350243327
Cordarone Tbl 200 mg;0.021766701076537383
Novasource GI Forte + Fasern;0.021530747677333727
Klacid Amp 500 mg;0.02150125350243327
Torem Tbl 5 mg;0.020734404955021383
Amlodipin Tbl 10 mg;0.020409969031116356
PDA-Standard Bolus;0.02035098068131544
Nitroprussiat Fides 0.5mg/ml;0.020291992331514526
Garamycin;0.020233003981713613
Na-Bicarbonat Inf Lsg 8.4%;0.020203509806813156
Prednison Tbl 20 mg;0.019790591358206756
Nimotop Tabl 30 mg;0.019790591358206756
Atropine Sulfat Sintetica inj 0.5 mg/ml;0.019584132133903556
Clexane 0.4 ml s/c;0.019495649609202182
"SmofKabiven NL 1500 ml +F;+E";0.019495649609202182
Phenhydan tabl 100 mg;0.01943666125940127
Phenhydan Inf Lsg 750 mg;0.019259696209998525
Metolazon Tbl 5 mg;0.01923020203509807
Keppra 500 mg Amp. i.v;0.017490045715971094
Loniten Tbl 2.5 mg;0.017077127267364694
Tavegyl Inj Lsg 2mg/2ml;0.016959150567762867
Prednison Tbl 5 mg;0.016546232119156467
Cordarone Perfusor;0.01631027871995281
Cardura CR Tbl 4 mg;0.016280784545052353
Na- Bicarbonat 8.4%;0.015838371921545493
Temesta inj Amp 4mg/ml;0.01557292434744138
Catapresan Tabl 150 mikrogr;0.015425453472939095
Dafalgan Brausetbl 500 mg;0.015012535024332694
Glucose 10%;0.014688099100427666
Norcuron inj 4mg/ml;0.014570122400825837
K-Pi conc;0.014363663176522637
Ventolin Inhal Lsg 0.05%;0.014098215602418522
Nitroderm TTS 5;0.01400973307771715
Kefzol Inj Lsg;0.013950744727916237
Diflucan Inf Lsg 200 mg;0.013921250553015779
Moduretic mite Tabl 50/2.5;0.013478837929508922
Aspirin cardio Tbl 300 mg;0.013478837929508922
Seropram Tbl 20 mg;0.013301872880106178
Euphyllin N Perfusor;0.013213390355404808
Nutriflex lipid spez 1250ml;0.012947942781300693
PDA-Forte;0.012387553458192008
Ketalar Inj Lsg 500 mg/10 ml;0.012299070933490636
Durogesic TTS 25 ug;0.01215160005898835
Seroquel Tbl 25mg;0.01215160005898835
Zovirax inf 250 mg;0.011945140834685149
Amlodipin Tbl 5 mg;0.011738681610381949
Dexdor Inf. Lsg;0.01162070491078012
Cefepime 2g Amp.;0.011591210735879664
Euthyrox Tabl 50 µg;0.011591210735879664
Ampho-Moronal Susp;0.011148798112372807
"II;VII;IX;X;C;S: Beriplex P/N 500 TS Inj Lsg";0.010647397139065035
KCL ret. Hausmann Drg 10mmol (745mg);0.010322961215160006
Orfiril Inj Lösung;0.010322961215160006
Glucose 20%/100ml Pflege;0.010234478690458635
Beloc zok ret. Tbl 100 mg;0.010204984515558178
Digoxin inj 0.25 mg/ml;0.009998525291254978
Fraxiparine 0.3 ml s/c;0.009792066066951778
Bactrim forte Lacktbl;0.009674089367349948
Nimotop inf 0.2 mg/ml;0.009644595192449491
PCA-Morphin;0.009261170918743547
Dipiperon Tbl 40 mg;0.009261170918743547
Captopril Tabl 25 mg;0.009261170918743547
Lyrica Kps 75 mg;0.009113700044241262
Floxapen Inj Lsg;0.009054711694440347
Erythrocin Inf Lsg;0.009054711694440347
Clamoxyl Inj Lsg;0.008936734994838519
Thyrotardin 100 ug;0.008936734994838519
Brilique Tbl 90 mg;0.008789264120336234
Glucose 20%;0.008759769945435777
Phenhydan inj 50 mg/ml 5 ml;0.008464828196431205
Madopar LIQ 125 mg Tbl;0.008435334021530747
Methadon oral 0.5% 5mg/ml;0.008317357321928918
Nepro;0.008140392272526177
Pulmicort Inhal Lsg 0.25 mg/ml;0.007963427223123433
Nutriflex lipid spez 1875ml;0.007845450523521605
Prednison Tbl 50 mg;0.007756967998820233
Distraneurin Mixt 500 mg/10 ml;0.007727473823919776
Fentanyl-PCA-Lösung;0.007697979649019319
Durogesic TTS 50 ug;0.007668485474118861
Dormicum 5mg/ml BOLUS;0.007668485474118861
Krenosin Inj Lsg;0.007609497124317947
Adrenalin 1mg/ml;0.007550508774517033
Efient Tbl 10 mg;0.007491520424716119
NaCl 2.5%;0.007462026249815661
Clexane 0.2 ml s/c;0.007462026249815661
Aldactone Filmtbl 100 mg;0.0073735437251142896
Piperacillin-Tazobactam 2.25 Inj Lsg;0.007344049550213833
Haldol Trpf 2mg/ml;0.007049107801209261
Digoxin Tabl 0.25 mg;0.006990119451408347
Survimed OPD;0.006960625276507889
Rapifen inj 0.5 mg/ml;0.0068721427518065184
Dalacin C Phosphat Inj Lsg 300 mg;0.006813154402005604
Fraxiparine 0.4 ml s/c;0.006783660227105147
Tamiflu Kps 75 mg;0.006665683527503318
Tracrium Perfusor;0.006518212653001032
Simdax inf;0.006488718478100575
Penicillin G 1 Mio;0.006341247603598289
Ultiva Inj Lsg;0.006193776729096004
Haemocomplettan;0.006193776729096004
Topamax Tbl 50 mg;0.006105294204394632
Prograf Kps 1mg;0.006075800029494175
Ciproxin 200 mg/100ml;0.006046305854593718
Dilatrend Tabl 12.5 mg;0.006046305854593718
Benerva Tbl 100 mg;0.005987317504792804
Flagyl Tbl 500 mg;0.0058693408051909745
Lasix 40 mg tabl;0.00581035245539006
Cosaar Tbl 50 mg;0.005662881580887774
Orfiril Sirup;0.005633387405987318
Ilomedin Inj Lsg 50ug/2.5 ml;0.0054269281816841175
Dafalgan tabl 500 mg;0.005308951482082289
CellCept Kps 250 mg;0.005308951482082289
Bactrim Inf Lsg;0.005279457307181832
PDA-Forte Bolus;0.005220468957380917
Rimactan inf 300 mg;0.00519097478248046
Na-Bicarbonat 1.4%;0.005131986432679546
Tora-dol Inj Lsg 30 mg;0.005102492257779089
Dequonal Gurgellösung;0.005043503907978174
Dalacin C 600 Phosphat Amp.;0.005043503907978174
Risperdal Tbl 1 mg;0.005043503907978174
Valtrex Tbl 500 mg;0.004955021383276803
Nebilet Tbl à 5 mg;0.0049255272083763455
Klacid Tbl 500 mg;0.004896033033475889
Nitriate 1mg/ml;0.004866538858575431
Novalgin Tbl. à 500mg;0.004837044683674974
Cancidas 50 mg;0.004630585459371774
CellCept Tbl 500 mg;0.004542102934670403
Sandimmun Neoral Kps 100 mg;0.004306149535466745
Calciumchlorid 5%;0.0042766553605662885
Durogesic Matrix 12 ug/h;0.004158678660964459
Seroquel Tbl 100 mg;0.004099690311163545
Lamotrigin Tbl 100 mg;0.003981713611561717
Solumedrol 500 mg;0.003863736911959888
Calciparine;0.003863736911959888
Cyklokapron Infusion;0.0038047485621589736
Ventavis Inhal Lsg;0.0037752543872585165
CellCept Susp;0.0037457602123580594
Neo-Mercazole Tabl 5 mg;0.0036867718625571448
Soldactone Amp.;0.0036867718625571448
Inderal Tbl 40 mg;0.0035982893378557735
Aldactone Filmtbl 50;0.0034803126382539447
Marcoumar Tbl;0.0034508184633534876
Actilyse;0.0034508184633534876
Esmolol Inj Lsg 100 mg /10 ml;0.0033918301135525734
"SmofKabiven NL 2000 ml +F;+E";0.003303347588851202
Novasource;0.0032443592390502874
Lamictal Tbl 100 mg;0.0032443592390502874
