drugname;drugcount
NaCl 0.9%;0.3328349476695053
Dextrose 5%;0.2873464213742443
PO Intake;0.27676656048885134
Solution;0.21140219723070922
Magnesium Sulfate;0.17818370928947538
Heparin Sodium (Prophylaxis);0.17519339530650718
Potassium Chloride;0.17195930572710136
Insulin - Regular;0.14816680751478906
Vancomycin;0.1452089969446792
Magnesium Sulfate (Bolus);0.13539296626145744
Propofol;0.12778716765260353
Piggyback;0.12172528115452122
LR;0.12073392706234154
Furosemide (Lasix);0.1206364168237665
Morphine Sulfate;0.11455827861925502
Calcium Gluconate;0.11381070012351296
Pantoprazole (Protonix);0.10604238445036729
Gastric Meds;0.10539231619320029
Packed Red Blood Cells;0.1025157641552363
KCL (Bolus);0.10025677696158096
Fentanyl;0.09778651758434635
Pre-Admission Intake;0.09416238705064031
OR Crystalloid Intake;0.09229344081128518
Metoprolol;0.08116102190730026
Famotidine (Pepcid);0.08049470194370409
Phenylephrine;0.07925957225508679
GT Flush;0.07706559188714815
Midazolam (Versed);0.07542416953780147
Insulin - Humalog;0.07501787687707209
Hydromorphone (Dilaudid);0.06224403562374049
D5 1/2NS;0.0576122992914256
Lorazepam (Ativan);0.05574335305207047
Insulin - Glargine;0.05574335305207047
Cefazolin;0.053988168757719564
Heparin Sodium;0.05306182149125658
Piperacillin/Tazobactam (Zosyn);0.05275303906910225
Norepinephrine;0.0524605083533771
Metronidazole;0.04779626860820386
Hydralazine;0.047357472534616134
Sterile Water;0.04711369693817851
K Phos;0.0456185399466944
Fentanyl (Concentrate);0.0447084443866606
Nitroglycerin;0.044074627835922774
Cefepime;0.043847103945914324
Ciprofloxacin;0.04140934798153806
Albumin 5%;0.039394136384320357
Ceftriaxone;0.032048365078333224
Fresh Frozen Plasma;0.03198335825261652
OR Cell Saver Intake;0.029643112526815316
Sodium Bicarbonate 8.4%;0.02949684716895274
Ranitidine (Prophylaxis);0.028570499902489763
Free Water;0.02824546577390626
OR Packed RBC Intake;0.028050445296756158
Dextrose 50%;0.027579145810310082
NaCl 0.45%;0.024897614249496196
Levofloxacin;0.024702593772346095
Piperacillin;0.023613729441591368
Meropenem;0.023386205551582915
Albumin 25%;0.02265487876227004
Amiodarone;0.022508613404407463
Platelets;0.022183579275823963
Haloperidol (Haldol);0.021419749073652735
Thiamine;0.01816940778781772
Acetaminophen-IV;0.01794188389780927
Diltiazem;0.017633101475654944
Labetalol;0.017503087824221542
Vasopressin;0.016414223493466815
