abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
ReoPro;Xorox;Cathflo Activase;Amdarone;Norliqva;Umbrellin;Agpen;Giapreza;NOTROBIN;Togal Kopfschm;Lypqozet;TRARIUM;Azithromycin AB;Bet-R-Prep;Bivalirudin Accord Healthcare;Burinex;CAPTOCID;CAVE-CT;Tokio;CEFIMAX;Tazidime;J-AXONE;Ciaxone;Cisatracurium Actavis;NEOTACIN;Rivotril;Dixarit;Demovo;Ducressa;Sedexodine;Ditatem;Paedamin;Dobutrexmylan;MYUNGMOON INOPAN;Perfan;Adrenaject;Flolan;EPTIFIBATIDE ACCORD;Aktipak;ESBLOC;Delofine;Fenhuma;Fem-V Plus;Romazicon;Frusemix;Maxi-Otic;Glyrx;Kentace;Hepflush;ZYDON;Palladone-SR;AacuLose;KEIRAN;KETLUR;ELPRAN;Refludan;Levefintaic;Ducressa;Licain Puren;Nezolid;Ativan;Vabomere;Methex;Metigalen;Aspramide;COMBIPHAM;Mycamine;Midalim;Lunanlikang;Mirataz;Abl;Prostigmin Bromide;Natrecor;Radistmin;Yifuzheng;NitroMist;Nipride;Noralin;Bynfezia;Pavulon;Nembutal;Easeacold;Pentran;NEWZOCIN;Procanbid;Propovan;Boots Heartburn Relief;ROCURIN;F-SIMVA C;SPIROZIDE;Quelicin;Sufentanil Hameln;SULPRIME;Pentothal;Aggrastat;Iptramol;Menstralite;Remodulin;Maxzide;VANCOCIN-CP;Pitressin;ECHICURON;WARFAR;ZYCOMB
CLOTINAB;Herpirax;Actilyse Cathflo;AMIRON;Olmekar;Amoxi Clavulan Pur;Penbritin;;Slonnon;Arthriten Max;Atorvator;Tracrium;AZIRON;Veracolate;Angiomax;Bumex;Acepril;CADILMAX;Rasenazolin;Maxipime;Fortaz;CEFCEFA;CIBID;Cisatracurium Hameln;Benzaclin;Klonopin;Catapres-TTS-2;Noctiva;Dexa;Dexased;CARDIBEN;Tact;DOBUMINE;Dominin;;Symjepi;Veletri;Hanan;ERYTHIN-S;JEIL BREVIBLOC;AFDIPIN;Fentanyl-Piramal;Femzol-1;Laiyi;Aridil;Vetaderm;MYUNGMOON MOBINUL;Fortunan;Hepafilled;Qual-Tussin DC;Dilaudid Cough;HYCELL;Vetalar;KETOLACIN;HUPZOLE;;Leveriuol;Oxalux;Xogel;Linevox;Wypax;BAROPENEM;Physeptone;Methylpred;Emexlon;LOMEX;Funguard;Midavel;Milrinon Rotexmedica;REMERON SOLTAB;Arymo;Miopin;;Isedipeal;Buruixi;Nitrocine;Nitropress;NORADRENALINE;Mycapssa;Pancuronium Hikma;Ravona;Demazin;Epanutin;PEZOCIN;Procainamid Abl;NEWFOL;Mylanta;Eslax;LOW-LD;Spirolone;Anectine;SUFENTANIL EUROCEPT;TS;Ravonal;Aikate;J-ATCET;Transabon;Orenitram;Co-triamterzide;GREENCO;VASOPRESSIN HANLIM;Musculax;Coumadin;Triaminic Decongestant
;CLORAC;Activacin;Nexterone;Amvas;Axycillin;Vidopen;;Dabei;CLOPIO-A;Ezetast;Saijining;AZI-V;Alophen Reformulated Jan 2008;Angiox;Bumetadine;Ecopace;CARDIOL;Kefzol;Painaixin;Ceptaz;CEFTRI M;CIFLO;Cisatracurium Ratiopharm;Clindets;Klonopin Wafer;Catapres-TTS-3;DESMOPRECINAMEDE;Dextenza;Precedex;Adizem-XL;Benadryl Allergy Plus Congestion;Dobupum;Catabon;;Ultacan;Epoprostenol Rotexmedica;Eptifibatid Mylan;ERYTHIN;ESMOCARD;DIRODIL;PFIZER FENTADUR;Femina;Flumazenil Atv;Dryptal;BETAGEN;Ultibro Breezhaler;Dozic;Qizheng;Vazotuss HC;Dilaudid;NOVARTIS METHOCEL;Ketaset;KETOTAMINE;LANOPRA;;Q-PAM XR;LEVOTU;Logicin;LINEZOLIDE ARROW;Lora-Pita;HYPENEM;Methadose;A-SOLONE;Gimoti;TRONAL;Mikaimin;Versed;Milrinon Stragen;Remeron;PHARMA MS;Robinul-Neostigmine;;Nisutadil;Entong;Nitronal;Nitopro;Noradrenaline Aguettant;Xinganyi;Pancuronium Inresa;Pentasol;Cold And Cough;Phenytek;PIPELACTAM;Apo-Procainamide;Propofol-Lipuro;Acidsoothe;Aikesong;BYSIMVA;Spirospare;Relaxin;SUFENTANIL PANPHARMA;Fectrim;PENTOTAL SODIUM;Xinweining;ACETRADOL;Rikavarin;Trepulmix;Triamaxco;Vancocin;Neo Lidocaton;Xianlin;Jantoven;Otrivine Congestion Relief
;ACYCLO;Actilyse;Pacerone;Amlodipine / Valsartan EG;Amiloxyn;Ampitrin;;AGARON;CLPIDO-A;Chorit;Atracurium Atv;AMASIN;Gentlax Reformulated Jan 2008;Taijianing;Lunetoron;Kaplon;CARZEN;Cefazolin Saar;Shiruiping;Modakemin;Q AXONE;CIFLONEW;CISATRACURIUM KABI;Duac;Valpax;Clorpres;ENURINE OD PUS;TOBACIN-D;Leweijia;Angitil SR;Sudafed PE Sinus Congestion plus Allergy;Fenghaifen;Tsurudopami;;BARCAINE;EPOPROSTENOL ARROW;Integrilin;GRENDACINE;Brevibloc;FELOBAL;Fentora;J-FLU;Flumazenil Hameln;Froop;GENTIZONE;Ultibro;Neoperidol;PosiFlush;B-Tuss;Palladone;Cellugel;Ketamin Hameln;KETROMIN;LANSOP;;EPILPRA;CRAFLOCIN;Seda;Gramposimide;Jiapule;MEROPEM;Martindale Methadone DTF;SOLONE-M;PANTASE-M;Zidoval;;Midazolan;Apo-Milrinone;MIRTAZAPINE CRISTERS;M-Eslon;Eseral;;Nicadirus-L;Younixin;Deponit;Nipruton;Norepine;Litexin;Pancuroniumbromid Ratiopharm;Dolomo;Paedamin;Epanutin Ready-Mixed Parenteral;PIRAZOCIN;Pronestyl;PropoThesia;HUVIS-D;Rocuroniumbromid Hameln;CHOLETATIN;Spironolactone Plus;Pantolax;SUFENTANIL RENAUDIN;Septrin;Thiopental Rotexmedica;TIROFIBAN MEDAC;ACETRADOL SEMI;Ranobis;Treprost;Frusene;Vancocin Matri;Pressyn Ar;rcuron;Marfarin;Sudafed Mucus Relief
;ACYLKIT;Cathflo;Amidox;Olmesartan / Amlodipin / HCT Mylan;Amoxapin;Omnipen;;TROMBAN;K-CLO;Atorvastatine Eurogenerics;Atracurium Hameln;AROWON;Modane Reformulated Sep 2008;;Youbuding;Capoten;CAVETIL;Cefodinin;Xinliwei;Modacin;Rozeclart;CIPMAXIN;CISATRACURIUM MYLAN;Clindamax;Ceberclon;Duraclon;MINI RESSIN;DEXADERM;Dexmedesed;Britiazim;After Sting;Aowanyuan;Asikeding;;FD CAINE;EPOPROSTENOL INTSEL CHIMOS;;Aknemycin;Ailuo;LODIPIN;Sublimaze;ARCNAZOLE;LUZENIL;Frusemek;SEPIDERM;Qbrexza;Halosten;Aknereduct;Liquicet;Narurapid;Moisture-eyes;Ketamin Hexal;TAGASIN;LANSOPRAGEN;;KINEPTIA;CRALEVO;Skin Assist First Aid;Linezolid Ratiopharm;Luola;MEROWON;Eptadone;APREADY;Maxolon;Flagyl;;Dormicum;Milrila;Paidisheng;Oramorph;Neostigmin Hameln;;Perdipine;Nimotong;Nitrolingual;NITRIATE;Anaesthol;Yipubishan;Pancuronium Duplex-Actavis;Kassiodon;Logicin;Hydantol;TABACCILLIN;Procan;Leweijing;RA-BS;ROCUNIUM;COSIVA;Laractone;Succicuran;Sufenta Mite;Cofatrim Fort;Intraval Sodium;Tirofiban Ibisqus;ACETRAM SEMI;Tajiushu;Ruimodulin;Atensolan;Wanjunya;Vasostrict;Vecure;Narfarin;Otrivine Child
;ACYROVA;Lysatec Rt;Darmil;Amlodipine / Valsartan Sandoz;Clavacillin;Marcillin;;Exembol;ASPIDIDE;E-DUET;ATRA;AZIMYCIN;Ex-lax Ultra;;Huiyuan;Captoruna;CAVEWIN;Elzogram;Laibixin;ZAVICEFTA;Liasophin;CIPRENIT;CISATRACURIUM SANDOZ;C/T/S;Clonazepam Neuraxpharm;Catapres Perlonget;MINIS;OPTIDEX;Igalmi;Slozem;Duratuss AC 12;Dobutrex;Dopamin Premix;;OKTOKAIN;EPOPROSTENOL PANPHARMA;;Benzamycin;Aoyixin;Felotens;Yemex;DICAZOLE;FLUNIL;Frusol;TRIMASONE;Enerzair;Haliduo;Arnica Kneipp;Levall 5.0;Narusus;GenTeal;Ketamin Ratiopharm;VITOLAC;LANSOROL;;LEVIEPIL;ELFOXACIN;Ziagel;HANALL LINEZOLID;Serenase;YUHAN MEROPEN;Methasan;CELCOR;Gastrobid Continus;Flagyl S;;Epistatus;Primacor;Mierning;Sevredol;Syncarpin;;Beilining;Erping;Sustac;Nipruss;NORADRENALINE JAYTECH;Lierning;Pancuronium-Actavis;Medinox;Sinutab;Aleviatin;TARPECIN;Amisalin;Dishining;ALBICHEM;ROCUMERON;EBSIMVA;Co-flumactone;CELOCURINE;Sufentanil Hikma;Cotrim;Trapanal;Tirofiban Ac;ACTRA;Hemosai;Tyvaso;Betathiazid;Vanco;;VECRON;Marevan;Otrivine Adult
;ACYVE;Activase;Kedalong;Viacorind;C-MOX;Polycillin-PRB;;Novastan;CLASPIN;ALIPID;ATRACURIUM HOSPIRA;AZITHROWON;Bisa-Plex;;Baichang;Dowpril;DALAT;Gramaxin;Ruoneng;Zhenliang;Cefxone;CIPROCOS;Cisatracurium Pharmathen;Clinda-Derm;Paxam;Aruclonin;MONARIN;SINPOLE;Dexdor;Tildiem;Triaminic Night Time Cold & Cough;HANA DOBUTAMINE HCL;CJ DOPAMINE HCL PREMIX;;POSICAINE;Solution only for dissolving Flolan;;Arpimycin;;Cabren;Recivit;FLRUNA;NEWZENIL;Delone;Ocu-Mycin;Breztri;Eukystol;Dolorgiet;Maxidone;Hydromorphon Dura;Gonak;KETOMIN;Taradyl;LANSPAZOLE;;Keppra;EMFLOC;Lidozen;CINEZOLID;Lorazepam EG;Meropen;Biodone Forte;ECBAN;Maxolon SR;Anabact;;Midafresa;COROTROPE;Remergon;Zomorph;NEOSTIGMINE METHYLSULFATE DAIHAN;;Zainingping;Maiteling;Nitro-Dur;Nipride;Q-PHRINE;Olatuton;Pancuroniumbromid Rotexmedica;Migrexa;Biorphen;Diphantoine;TASOZIN;Coritrat;Ruikefu;ALBISONDI;ROCURON;EZEVATIN;Lasilactone;Myo Relaxin;Sufentanil Narcomed;Septra;Thiopental Inresa;Tirostat;ALPHACET;Properly;;Beta Nephral;Vanco Saar;;VERONI;JEIL WARFARIN;Otrivine Allergy Relief
;CLOBIG;Grtpa;Amiodarex;Katerzia;SULTAM-A;Omnipen-N;;Nuobaositai;DANARIX;ALTOVA;Atracurium Hexal;MACROMAX;Correct (New Formula);;Weixinhong;Kaifulin;DICAVE M;CKD CEFAZOLINE;Lisiping;Ansumei;Guofumei;CIPROXINA;Cisatracurium Omega;ANTIROBE;Antelepsin;Clonidin Awd;DDAVP;TOBIANDEX;Sileo;Zemtard XL;Theraflu Multi Symptom;DOBUTAMINE PANPHARMA;DOPAMINE DAEWOO;;Epipen;EPOPROSTENOL SANDOZ;;Erythroped A;;Neofel XL;Tilofyl;FLUWIN;LUMAXATE;Furocot;Garamycin;Cuvposa;Elaubat;Essaven;Histex HC;Hydromorphon Hameln;Goniosoft;Ketaject;Sprix;LASOTEC;;Matever;LEFLOX;Bio-Kool;LINOXAZOL;Am Lorazepam;KIRAVEM;Methaddict;EDVANCE;Metramid;MetroCream;;Seizalam;MILRINONE MEDAC;Mirtazapine Apotex;Avinza;Bloxiverz;;Yuluotong;Yundien;Nitrodisc;Nitroprussiat Fides;NOREPIRIN;Bendatreotid;;Neodorm;Phenylephrine Unimedic;Glyboral;TAZOCILLIN;Novocamid;Propofol B. Braun;ALBITHUS;ROCURONIUM HOSPIRA;LIPECOR;Noidouble;Succinyl Asta;Sufenta;Bethaprim;Pentothal Ready To Mix;Tirofiban Hexal;ALPHACET SEMI;Beiruining;;Beta Turfa;Vancomycin Deltaselect;;Norcuron;WARFARIN DAEHWA;Tixycolds
;CYCVI;;Amiodaron 1a Pharma;ABIPRE;ACLA;Principen;;NOVASTAN HI;NEW CLOPINE DUO;AMOSTATIN;ACULEX;RICHTHROMAX;Fleet Bisacodyl;;Fordiuran;Captopril 1a Pharma;INTRAC;CEFOZOL;Hengsu;Lixinmei;Ansailong;CIPXACIN;Nimbex Forte;Acanya;Dom-Clonazepam-R;Clonid Ophtal;Stimate;TOB TWO;Dexdomitor;Tiamate;Paxidorm;DOBUTAMINE SILCAR;DOPAMINE HCI HUONS;;Epinal;Epoprostenol Normon;;Eryzole;;Cardioplen;Matrifen;FULCONA;FLUMAZENIL KABI;Diuresal;Ed-Mycin;Sialanar;Haloperidol Gry;Enelbin;SymTan A;Hydromorphon Hcl 1a Pharma;Hyprosol;KETAMINE RENAUDIN;Toratex;OGAPRON;;LEVETIRACETAM KRKA;LEFLOXA;Workvie;LINEZOLIDE KABI;Bonatranquan;Meronem;Diskets;JEMANS;Metoclomex;Metryl;;Duomeikang;Corotrop;Zispin;Oramorph SR;Neostig;;Rydene;SAMJIN NIMODIPINE;Nitrong;Cora-Bosan;Meaverin;Octreotid Hameln;;Praecicalm;Wal-Profen Congestion Relief and Pain;Hydaticon;UNIPERATAM;Rhythmochin I;Propofol EG;ALBIZENDI;Rocuronium Inresa;SIMPECTIN;Spilactone;SUCCICHOLINE;Dsuvia;Bacter-Aid;;Tirofiban Hikma;AMITRAM;Lidafei;;Cardiotensin;Vancomycin Eberth Ebh;;Wankesong;KUFARIN;Rhinivex
;HACYVIR;;Amiodaron Beta;E-DUET;ACLAON;Unasyn;;ARGANOVA;PABAXIN;ANATA;Atracurium Crm;ZIMAX;Numark Constipation Relief;;Langqing;Captopril Actavis;Carvedilol JD;CEFAZOLINE MYLAN;Luoxinwei;Ansaitamei;Ceftriaxon Atv;CYFLOC;Nimbex;Duac Once Daily;Mylan-Clonazepam;Combipresan;Presinex;TORABINDEX;;Cardizem;Dytan-CD;Dobutamin Carino;DOPURAMIN;;Simplene;Caripul;;Erymin;;Felodipine EG;Breakyl;FULUCONAL;FLUMAZENIL MYLAN;Frusetic;Gentak;Trimbow;Haloperidol Neuraxpharm;Exhirud;Cytuss-HC NR;Hydromorphon Hcl Heumann;Lumen C;Vetaket;CERASIN;RASONOL;;LEVETIRACETAM EVOLUGEN;LEFLOXIN;Gold Bond Pain and Itch;LINEZOLIDE PANPHARMA;Milinda;Meropenem Puren;Dolophine;KEDISOLONE;MigraMax;Protostat;;Ozalin;Milrinon Carino;Mirtazapin 1a Pharma;MS Contin;Novistig;;Antagonil;NIMODIPINE REYON;Nitrostat;;Scandicain;OCTREOTIDE KABI;;Priatan;Vanatab DM;Zentromid;Zosyn;Rhythmochin Ii;Propoven;ALFOS;Rocuronium Tamarang;SIMPOL;Merlactone;SUXAMETHONIUM AGUETTANT;ZALVISO;Sulfatrim;;;ARTMA;Lysteda;;Diu Tonolytril;Vancomycin Entero;;VECARON;Mylan-Warfarin;Nuso-San
